@relation InstanceResultListener

@attribute Key_Dataset {balance-scale,ecoli,heart-statlog,ionosphere,iris,pima-diabetes,sonar,spectrometer,vehicle,vowel,wine}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-F \"weka.filters.unsupervised.instance.KernelHerding -K \\\"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\\\" -Z 20.0\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-4523450618538717400,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

balance-scale,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,562,63,57,6,0,90.47619,9.52381,0,0.823529,0.261023,0.335968,68.687367,77.082056,83.196146,5404.927825,-5321.731679,1.320574,85.792505,-84.471931,29.579099,0.46951,35.553449,1,29,0.147059,5,0.852941,29,0,0,0.852941,1,0.920635,0.852941,0.926471,0.852941,0.904762,0.081232,0.918768,0.095238,?,0.904762,?,?,0.911765,0.835348,?,0.904762,0.012,0.004,0.015625,0,15.625,0,25524,40076,5645,92.063492,66.666667,?
balance-scale,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,562,63,58,5,0,92.063492,7.936508,0,0.852941,0.257496,0.330677,67.759159,75.868089,83.196146,5403.927825,-5320.731679,1.320574,85.776632,-84.456058,30.418355,0.482831,36.562216,1,29,0.029412,1,0.970588,33,0,0,0.966667,1,0.983051,0.968625,0.985294,0.966667,0.920635,0.067694,0.932306,0.079365,?,0.920635,?,?,0.926471,0.855794,?,0.920635,0.004,0.001,0,0,0,0,25524,40076,5645,92.063492,66.666667,?
balance-scale,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,562,63,56,7,0,88.888889,11.111111,0,0.794118,0.26455,0.341178,69.615574,78.277198,83.196146,5405.927825,-5322.731679,1.320574,85.808378,-84.487804,28.739843,0.456188,34.544681,0.965517,28,0.117647,4,0.882353,30,0.034483,1,0.875,0.965517,0.918033,0.845302,0.923935,0.860701,0.888889,0.094771,0.905229,0.111111,?,0.888889,?,?,0.896608,0.811352,?,0.888889,0.004,0.002,0,0,0,0,25524,40076,5645,92.063492,66.666667,?
balance-scale,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,562,63,57,6,0,90.47619,9.52381,0,0.823529,0.261023,0.335968,68.687367,77.082056,83.196146,5404.927825,-5321.731679,1.320574,85.792505,-84.471931,29.579099,0.46951,35.553449,0.965517,28,0.029412,1,0.970588,33,0.034483,1,0.965517,0.965517,0.965517,0.936105,0.968053,0.948097,0.904762,0.081232,0.918768,0.095238,?,0.904762,?,?,0.911765,0.835348,?,0.904762,0.003,0.001,0,0,0,0,25524,40076,5645,92.063492,66.666667,?
balance-scale,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,562,63,53,10,0,84.126984,15.873016,0,0.705882,0.275132,0.356348,72.400197,81.757867,83.196146,5408.927825,-5325.731679,1.320574,85.855997,-84.535423,26.222076,0.416223,31.518378,0.896552,26,0.147059,5,0.852941,29,0.103448,3,0.83871,0.896552,0.866667,0.747223,0.874746,0.799566,0.84127,0.135387,0.864613,0.15873,?,0.84127,?,?,0.852941,0.750573,?,0.84127,0.002,0.001,0,0,0,0,25526,40076,5645,92.063492,66.666667,?
balance-scale,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,563,62,57,5,0,91.935484,8.064516,0,0.848485,0.25448,0.326086,67.557663,75.562442,79.57723,4330.927825,-4251.350595,1.283504,69.853675,-68.570171,29.836222,0.481229,37.493417,0.965517,28,0,0,1,33,0.034483,1,1,0.965517,0.982456,0.968049,0.982759,0.981646,0.919355,0.07087,0.92913,0.080645,?,0.919355,?,?,0.924242,0.862276,?,0.919355,0.003,0.001,0,0,0,0,25522,40145,5576,93.548387,66.666667,?
balance-scale,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,563,62,54,8,0,87.096774,12.903226,0,0.761194,0.268817,0.347375,70.682851,79.628825,82.079511,5406.342863,-5324.263351,1.323863,87.199078,-85.875215,27.356938,0.441241,33.329801,0.964286,27,0.117647,4,0.882353,30,0.035714,1,0.870968,0.964286,0.915254,0.842665,0.923319,0.855991,0.870968,0.109827,0.890173,0.129032,?,0.870968,?,?,0.88057,0.787461,?,0.870968,0.002,0.001,0,0,0,0,25526,40145,5576,91.935484,66.666667,?
balance-scale,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,563,62,54,8,0,87.096774,12.903226,0,0.761424,0.268817,0.347375,70.682851,79.628825,82.079511,5406.342863,-5324.263351,1.323863,87.199078,-85.875215,27.356938,0.441241,33.329801,0.964286,27,0.176471,6,0.823529,28,0.035714,1,0.818182,0.964286,0.885246,0.785754,0.893908,0.80509,0.870968,0.108044,0.891956,0.129032,?,0.870968,?,?,0.879494,0.793194,?,0.870968,0.003,0.001,0,0,0,0,25526,40145,5576,91.935484,66.666667,?
balance-scale,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement\" -S 1 -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 0 -G 1.0\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-4523450618538717400,20210415.0214,563,62,54,8,0,87.096774,12.903226,0,0.760849,0.268817,0.347375,70.682851,79.628825,82.079511,5406.342863,-5324.263351,1.323863,87.199078,-85.875215,27.358569,0.441267,33.331789,1,29,0.151515,5,0.848485,28,0,0,0.852941,1,0.920635,0.85071,0.924242,0.852941,0.870968,0.110718,0.889282,0.129032,?,0.870968,?,?,0.880125,0.787335,?,0.870968,0.002,0.001,0,0,0,0,25520,40145,5576,91.935484,66.666667,?
